ID,NAME,MKT,INDUSTRY_NAME_1,INDUSTRY_NAME_2
9962,有益,OTC,金屬基本,不銹鋼
9960,邁達康,OTC,百貨批發,百貨購物中
9958,世紀鋼,TSE,金屬基本,鋼筋
9955,佳龍,TSE,資源回收,貴金屬回收
9951,皇田,OTC,汽車組件,汽車組件
9950,萬國通,OTC,鞋及旅行箱,鞋及旅行箱
9949,琉園,OTC,玻璃陶瓷,玻璃陶瓷
9946,三發地產,TSE,建設,建設
9945,潤泰新,TSE,建設,建設
9944,新麗,TSE,不織布,不織布
9943,好樂迪,TSE,觀光遊樂區,觀光遊樂區
9942,茂順,TSE,汽車組件,汽車組件
9941,裕融,TSE,租賃業,租賃業
9940,信義,TSE,仲介建經,仲介建經
9939,宏全,TSE,塑膠製品,塑膠製品
9938,百和,TSE,其他紡織,其他紡織
9937,全國,TSE,公用事業,加油站
9935,慶豐富,TSE,五金及家具,五金及家具
9934,成霖,TSE,五金及家具,五金及家具
9933,中鼎,TSE,工程承攬,工程承攬
9931,欣高,TSE,公用事業,天然氣
9930,中聯資源,TSE,其他水泥,其他水泥
9929,秋雨,TSE,印刷,印刷
9928,中視,TSE,電視廣播,電視廣播
9927,泰銘,TSE,金屬基本,鋁鋅
9926,新海,TSE,公用事業,天然氣
9925,新保,TSE,保全業,保全業
9924,福興,TSE,五金及家具,五金及家具
9921,巨大,TSE,其他,自行健行車
9919,康那香,TSE,不織布,不織布
9918,欣天然,TSE,公用事業,天然氣
9917,中保,TSE,保全業,保全業
9914,美利達,TSE,其他,自行健行車
9912,偉聯,TSE,光電/ IO,監視器
9911,櫻花,TSE,五金及家具,五金及家具
9910,豐泰,TSE,鞋及旅行箱,鞋及旅行箱
9908,大台北,TSE,公用事業,天然氣
9907,統一實,TSE,金屬製品,金屬製品
9906,欣巴巴,TSE,建設,建設
9905,大華,TSE,金屬製品,金屬製品
9904,寶成,TSE,鞋及旅行箱,鞋及旅行箱
9902,台火,TSE,其他,其他製造業
9802,鈺齊-KY,TSE,鞋及旅行箱,鞋及旅行箱
9188,精熙-DR,TSE,消費性電子,照相機
9157,陽光能源-DR,TSE,光電/ IO,太陽能電池
9136,巨騰-DR,TSE,電子零組件,機殼
912398,友佳-DR,TSE,機械業,工具機
912000,晨訊科-DR,TSE,網路設備,數據機
911868,同方友友-DR,TSE,光電/ IO,封裝及應用
911622,泰聚亨-DR,TSE,金屬基本,線材
911619,耀傑-DR,TSE,機械業,工具機
911616,杜康-DR,TSE,其他食品,其他食品
911613,特藝-DR,OTC,其他,其他服務
911608,明輝-DR,TSE,貿易業,貿易業
9110,越南控-DR,TSE,機車船製造,機車製造
910861,神州-DR,TSE,軟體服務,系統整合
9105,泰金寶-DR,TSE,光電/ IO,PC週邊
910482,聖馬丁-DR,TSE,網路設備,數據機
910322,康師傅-DR,TSE,其他食品,其他食品
9103,美德醫療-DR,TSE,醫療耗材,醫療耗材
8996,高力,TSE,金屬基本,其他
8942,森鉅,OTC,石化,塑膠加工
8941,關中,OTC,五金及家具,五金及家具
8940,新天地,TSE,餐飲飯店,餐飲業
8938,明安,OTC,其他,高爾夫球頭
8937,合騏,OTC,汽車製造,汽車製造
8936,國統,OTC,金屬製品,金屬製品
8935,邦泰,OTC,塑膠製品,塑膠製品
8934,衡平,OTC,物業管理,物業管理
8933,愛地雅,OTC,其他,自行健行車
8932,宏大,OTC,其他紡織,其他紡織
8931,大汽電,OTC,公用事業,汽電共生
8930,青鋼,OTC,金屬製品,金屬製品
8929,富堡,OTC,不織布,不織布
8928,鉅明,OTC,其他,高爾夫球頭
8927,北基,OTC,公用事業,加油站
8926,台汽電,TSE,公用事業,汽電共生
8924,大田,OTC,其他,高爾夫球頭
8923,時報,OTC,平媒電子報,平媒電子報
8921,沈氏,OTC,印刷,印刷
8917,欣泰,OTC,公用事業,天然氣
8916,光隆,OTC,其他紡織,其他紡織
8913,全銓,OTC,租賃業,租賃業
8908,欣雄,OTC,公用事業,天然氣
8906,花王,OTC,印刷,印刷
8905,裕國,OTC,罐頭加工,罐頭加工
8499,鼎炫-KY,TSE,電子設備,電機設備
8497,格威傳媒,TSE,廣告業,廣告業
8489,三貝德,OTC,平媒電子報,平媒電子報
8488,吉源-KY,TSE,金屬製品,金屬製品
8482,商億-KY,TSE,五金及家具,五金及家具
8481,政伸,TSE,印刷,印刷
8480,泰昇-KY,TSE,不織布,不織布
8478,東哥遊艇,TSE,機車船製造,船舶製造
8477,創業家,OTC,通訊設備,網路服務
8476,台境,OTC,資源回收,廢棄物處理
8473,山林水,TSE,資源回收,廢棄物處理
8472,夠麻吉,OTC,通訊設備,網路服務
8467,波力-KY,TSE,其他,其他製造業
8466,美吉吉-KY,TSE,塑膠製品,塑膠製品
8464,億豐,TSE,五金及家具,五金及家具
8463,潤泰材,TSE,水泥製造,水泥製造
8462,柏文,TSE,其他,其他服務
8455,大拓-KY,OTC,電子零組件,其他零組件
8454,富邦媒,TSE,通訊設備,網路服務
8450,霹靂,OTC,電視廣播,電視廣播
8446,華研,OTC,其他,其他服務
8444,綠河-KY,OTC,五金及家具,五金及家具
8443,阿瘦,TSE,鞋及旅行箱,鞋及旅行箱
8442,威宏-KY,TSE,鞋及旅行箱,鞋及旅行箱
8440,綠電,OTC,資源回收,廢棄物處理
8437,大地-KY,OTC,其他,其他服務
8436,大江,OTC,生物科技,生物科技
8435,鉅邁,OTC,資源回收,廢棄物處理
8433,弘帆,OTC,貿易業,貿易業
8432,東生華,OTC,藥,西藥
8431,匯鑽科,OTC,光電/ IO,硬碟磁碟
8429,金麗-KY,TSE,鞋及旅行箱,鞋及旅行箱
8427,基勝-KY,TSE,五金及家具,五金及家具
8426,紅木-KY,OTC,五金及家具,五金及家具
8424,惠普,OTC,其他水泥,其他水泥
